#chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	stage
NC_063383.1	834	1575	OPG001	1000	-	834	1575	102,255,102	early
NC_063383.1	1701	2751	OPG002	1000	-	1701	2751	102,255,102	early
NC_063383.1	2840	4607	OPG003	1000	-	2840	4607	255,51,51	late
NC_063383.1	4842	6156	OPG015	1000	-	4842	6156	255,255,255	unknown
NC_063383.1	7579	8008	OPG019	1000	+	7579	8008	102,255,102	early
NC_063383.1	9586	10315	OPG021	1000	+	9586	10315	255,255,255	unknown
NC_063383.1	10477	10858	OPG022	1000	-	10477	10858	255,255,255	unknown
NC_063383.1	10917	12900	OPG023	1000	-	10917	12900	255,255,255	unknown
NC_063383.1	13033	13228	OPG024	1000	-	13033	13228	255,255,255	unknown
NC_063383.1	13374	15267	OPG025	1000	-	13374	15267	102,255,102	early
NC_063383.1	15924	16377	OPG027	1000	-	15924	16377	102,255,102	early
NC_063383.1	16601	17069	OPG029	1000	-	16601	17069	102,255,102	early
NC_063383.1	17212	17833	OPG030	1000	-	17212	17833	102,255,102	early
NC_063383.1	17877	18828	OPG031	1000	-	17877	18828	102,255,102	early
NC_063383.1	19360	20005	OPG034	1000	-	19360	20005	102,255,102	early
NC_063383.1	20050	20404	OPG035	1000	-	20050	20404	102,255,102	early
NC_063383.1	20530	21064	OPG036	1000	-	20530	21064	102,255,102	early
NC_063383.1	21104	22433	OPG037	1000	-	21104	22433	102,255,102	early
NC_063383.1	22496	23159	OPG038	1000	-	22496	23159	102,255,102	early
NC_063383.1	23263	24118	OPG039	1000	-	23263	24118	102,255,102	early
NC_063383.1	24350	25478	OPG040	1000	-	24350	25478	102,178,255	intermediate
NC_063383.1	25822	27097	OPG042	1000	-	25822	27097	102,178,255	intermediate
NC_063383.1	27124	27955	OPG043	1000	-	27124	27955	102,255,102	early
NC_063383.1	28090	28540	OPG044	1000	+	28090	28540	102,255,102	early
NC_063383.1	28602	29262	OPG045	1000	-	28602	29262	102,255,102	early
NC_063383.1	29273	29729	OPG046	1000	-	29273	29729	102,255,102	early
NC_063383.1	29745	31194	OPG047	1000	-	29745	31194	102,255,102	early
NC_063383.1	31204	32164	OPG048	1000	-	31204	32164	102,255,102	early
NC_063383.1	32194	33151	OPG049	1000	-	32194	33151	102,255,102	early
NC_063383.1	33180	33408	OPG050	1000	-	33180	33408	102,255,102	early
NC_063383.1	33424	33649	OPG051	1000	-	33424	33649	255,255,255	unknown
NC_063383.1	33800	33995	OPG052	1000	-	33800	33995	102,255,102	early
NC_063383.1	34051	34690	OPG053	1000	-	34051	34690	255,51,51	late
NC_063383.1	34676	35996	OPG054	1000	-	34676	35996	255,51,51	late
NC_063383.1	36018	37083	OPG055	1000	-	36018	37083	102,255,102	early
NC_063383.1	37126	39034	OPG056	1000	-	37126	39034	102,255,102	early
NC_063383.1	39076	40195	OPG057	1000	-	39076	40195	102,178,255	intermediate
NC_063383.1	40212	40434	OPG058	1000	-	40212	40434	102,255,102	early
NC_063383.1	40483	40633	OPG059	1000	-	40483	40633	102,255,102	early
NC_063383.1	40705	41182	OPG060	1000	-	40705	41182	102,255,102	early
NC_063383.1	41188	41884	OPG061	1000	-	41188	41884	102,255,102	early
NC_063383.1	41946	42252	OPG062	1000	+	41946	42252	255,51,51	late
NC_063383.1	42248	43688	OPG063	1000	-	42248	43688	102,255,102	early
NC_063383.1	43684	45898	OPG064	1000	-	43684	45898	102,255,102	early
NC_063383.1	46021	46483	OPG065	1000	-	46021	46483	102,255,102	early
NC_063383.1	46648	47428	OPG066	1000	-	46648	47428	102,255,102	early
NC_063383.1	48200	49904	OPG068	1000	+	48200	49904	102,178,255	intermediate
NC_063383.1	49985	50486	OPG069	1000	+	49985	50486	102,178,255	intermediate
NC_063383.1	50589	51411	OPG070	1000	+	50589	51411	102,178,255	intermediate
NC_063383.1	51417	54438	OPG071	1000	-	51417	54438	102,255,102	early
NC_063383.1	54469	54757	OPG072	1000	+	54469	54757	255,51,51	late
NC_063383.1	54751	55141	OPG073	1000	-	54751	55141	102,178,255	intermediate
NC_063383.1	55127	57125	OPG074	1000	-	55127	57125	102,255,102	early
NC_063383.1	57171	57498	OPG075	1000	-	57171	57498	102,178,255	intermediate
NC_063383.1	57522	57630	OPG076	1000	-	57522	57630	102,178,255	intermediate
NC_063383.1	57644	58583	OPG077	1000	-	57644	58583	102,178,255	intermediate
NC_063383.1	58589	58811	OPG078	1000	-	58589	58811	255,51,51	late
NC_063383.1	58811	59621	OPG079	1000	-	58811	59621	102,255,102	early
NC_063383.1	59702	62018	OPG080	1000	-	59702	62018	102,255,102	early
NC_063383.1	62045	62285	OPG081	1000	-	62045	62285	102,178,255	intermediate
NC_063383.1	62303	63452	OPG082	1000	-	62303	63452	102,178,255	intermediate
NC_063383.1	63444	64716	OPG083	1000	-	63444	64716	255,51,51	late
NC_063383.1	64721	66752	OPG084	1000	+	64721	66752	102,178,255	intermediate
NC_063383.1	66755	68531	OPG085	1000	-	66755	68531	255,51,51	late
NC_063383.1	68527	68863	OPG086	1000	-	68527	68863	255,51,51	late
NC_063383.1	68856	69519	OPG087	1000	+	68856	69519	102,255,102	early
NC_063383.1	69488	69863	OPG088	1000	-	69488	69863	102,178,255	intermediate
NC_063383.1	69865	71170	OPG089	1000	+	69865	71170	102,255,102	early
NC_063383.1	71178	71370	OPG090	1000	+	71178	71370	102,255,102	early
NC_063383.1	71369	71867	OPG091	1000	+	71369	71867	255,51,51	late
NC_063383.1	71831	72947	OPG092	1000	-	71831	72947	255,51,51	late
NC_063383.1	72977	73760	OPG093	1000	+	72977	73760	102,178,255	intermediate
NC_063383.1	73779	74802	OPG094	1000	+	73779	74802	255,51,51	late
NC_063383.1	74802	75555	OPG095	1000	+	74802	75555	255,51,51	late
NC_063383.1	75586	75865	OPG096	1000	+	75586	75865	102,255,102	early
NC_063383.1	75840	76875	OPG097	1000	-	75840	76875	255,51,51	late
NC_063383.1	76899	77655	OPG098	1000	+	76899	77655	102,178,255	intermediate
NC_063383.1	77664	78051	OPG099	1000	+	77664	78051	255,51,51	late
NC_063383.1	78007	78466	OPG100	1000	+	78007	78466	102,178,255	intermediate
NC_063383.1	78485	79019	OPG101	1000	+	78485	79019	102,255,102	early
NC_063383.1	79084	80086	OPG102	1000	+	79084	80086	102,255,102	early
NC_063383.1	80000	80558	OPG103	1000	+	80000	80558	102,255,102	early
NC_063383.1	80617	81019	OPG104	1000	-	80617	81019	255,51,51	late
NC_063383.1	81125	84986	OPG105	1000	+	81125	84986	102,255,102	early
NC_063383.1	84982	85498	OPG106	1000	-	84982	85498	102,178,255	intermediate
NC_063383.1	85511	86081	OPG107	1000	+	85511	86081	255,51,51	late
NC_063383.1	86084	87059	OPG108	1000	-	86084	87059	102,178,255	intermediate
NC_063383.1	87059	89447	OPG109	1000	-	87059	89447	255,51,51	late
NC_063383.1	89631	90264	OPG110	1000	+	89631	90264	102,255,102	early
NC_063383.1	90264	91209	OPG111	1000	+	90264	91209	255,51,51	late
NC_063383.1	91246	91687	OPG112	1000	+	91246	91687	102,178,255	intermediate
NC_063383.1	91730	94268	OPG113	1000	+	91730	94268	102,255,102	early
NC_063383.1	94226	94667	OPG114	1000	-	94226	94667	255,51,51	late
NC_063383.1	94659	95361	OPG115	1000	+	94659	95361	255,51,51	late
NC_063383.1	95360	96017	OPG116	1000	+	95360	96017	102,255,102	early
NC_063383.1	96048	98406	OPG117	1000	+	96048	98406	102,255,102	early
NC_063383.1	98445	100359	OPG118	1000	+	98445	100359	102,178,255	intermediate
NC_063383.1	100385	100871	OPG119	1000	+	100385	100871	102,255,102	early
NC_063383.1	100833	101748	OPG120	1000	-	100833	101748	102,178,255	intermediate
NC_063383.1	101789	102431	OPG121	1000	+	101789	102431	102,255,102	early
NC_063383.1	102427	103174	OPG122	1000	+	102427	103174	102,178,255	intermediate
NC_063383.1	103174	105070	OPG123	1000	-	103174	105070	102,178,255	intermediate
NC_063383.1	105104	105968	OPG124	1000	-	105104	105968	102,255,102	early
NC_063383.1	105998	107654	OPG125	1000	-	105998	107654	102,178,255	intermediate
NC_063383.1	107677	108130	OPG126	1000	-	107677	108130	102,178,255	intermediate
NC_063383.1	108150	108825	OPG127	1000	-	108150	108825	102,178,255	intermediate
NC_063383.1	108821	109055	OPG128	1000	-	108821	109055	255,51,51	late
NC_063383.1	109069	111004	OPG129	1000	-	109069	111004	102,178,255	intermediate
NC_063383.1	111056	111902	OPG130	1000	-	111056	111902	102,255,102	early
NC_063383.1	111939	112425	OPG131	1000	+	111939	112425	102,255,102	early
NC_063383.1	112421	113540	OPG132	1000	-	112421	113540	102,178,255	intermediate
NC_063383.1	113563	115696	OPG133	1000	-	113563	115696	255,51,51	late
NC_063383.1	115749	116628	OPG134	1000	+	115749	116628	102,255,102	early
